index,job_title,rating,company,location,headquarters,size,ownership,sector,salary_start,salary_end,location_state
371,Data Scientist,4.4,"SolutionIT, Inc.
4.4","Edison, NJ","Wilmington, MA",51 to 200 employees,Company - Private,Unknown,112000,116000, NJ
610,Data Scientist,4.7,"Tygart Technology, Inc
4.7","Washington, DC","Fairmont, WV",1 to 50 employees,Company - Private,Unknown,80000,132000, DC
662,Data Scientist,4.4,"SolutionIT, Inc.
4.4","Edison, NJ","Wilmington, MA",51 to 200 employees,Company - Private,Unknown,105000,167000, NJ
495,Data Scientist,0,Hatch Data Inc,"San Francisco, CA",Unknown,Unknown,Unknown,Unknown,95000,119000, CA
459,Data Scientist,0,Blue Cloak LLC,"Sterling, VA",Unknown,Unknown,Unknown,Unknown,69000,116000, VA
158,Machine Learning Engineer,0,Radical Convergence,"Reston, VA",Unknown,Unknown,Unknown,Unknown,101000,165000, VA
650,Other,0,Monte Rosa Therapeutics,"Cambridge, MA",Unknown,Unknown,Unknown,Unknown,92000,155000, MA
234,Data Scientist,3.5,"Argo Group US
3.5","New York, NY","Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance,71000,123000, NY
356,Data Analyst,3.9,"Nolij Consulting
3.9","Falls Church, VA","Vienna, VA",51 to 200 employees,Company - Public,Business Services,122000,146000, VA
354,Data Engineer,4.6,"Blend360
4.6","Columbia, MD","Columbia, MD",51 to 200 employees,Company - Private,Business Services,122000,146000, MD
403,Data Analyst,3.6,"Community Behavioral Health
3.6","Philadelphia, PA","Phila, PA",201 to 500 employees,Company - Private,Health Care,110000,163000, PA
223,Data Engineer,4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC",201 to 500 employees,Company - Private,Finance,71000,123000, OH
584,Machine Learning Engineer,5.0,"LifeOmic
5.0","Raleigh, NC","Indianapolis, IN",51 to 200 employees,Company - Private,Information Technology,138000,158000, NC
352,Other,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,122000,146000, MD
656,Data Scientist,0,Berico Technologies,"Fort Belvoir, VA",Unknown,Unknown,Unknown,Unknown,105000,167000, VA
351,Data Scientist,0,Point72 Ventures,"Palo Alto, CA",Unknown,Unknown,Unknown,Unknown,122000,146000, CA
555,Data Scientist,0,HireAi,"San Francisco, CA",Unknown,Unknown,Unknown,Unknown,128000,201000, CA
252,Data Scientist,3.3,"Parker Hannifin
3.3","Cleveland, OH","Cleveland, OH",10000+ employees,Company - Public,Manufacturing,90000,124000, OH
253,Data Scientist,4.1,"Gallup
4.1","New York, NY","Washington, DC",1001 to 5000 employees,Company - Private,Business Services,90000,124000, NY
254,Data Scientist,3.3,"Insider Inc
3.3","New York, NY","New York, NY",201 to 500 employees,Company - Private,Media,90000,124000, NY
272,Data Scientist,3.5,"Comcast
3.5","New York, NY","Philadelphia, PA",10000+ employees,Company - Public,Unknown,91000,150000, NY
251,Data Scientist,4.0,"Better Hire
4.0","Birmingham, AL","Birmingham, AL",1 to 50 employees,Company - Private,Unknown,90000,124000, AL
393,Data Engineer,4.5,"Kingfisher Systems
4.5","Falls Church, VA","Falls Church, VA",51 to 200 employees,Company - Private,Government,110000,163000, VA
394,Other,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,110000,163000, IL
395,Other,3.4,"Liberty Mutual Insurance
3.4","Indianapolis, IN","Boston, MA",10000+ employees,Company - Private,Insurance,110000,163000, IN
261,Data Scientist,3.6,"Constant Contact
3.6","Waltham, MA","Waltham, MA",Unknown,Subsidiary or Business Segment,Business Services,90000,124000, MA
20,Data Scientist,3.2,"Triplebyte
3.2","New York, NY","San Francisco, CA",51 to 200 employees,Company - Private,Information Technology,137000,171000, NY
21,Data Scientist,4.3,"PulsePoint
4.3","New York, NY","New York, NY",51 to 200 employees,Company - Private,Information Technology,137000,171000, NY
400,Data Analyst,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Information Technology,110000,163000, VA
291,Data Scientist,4.4,"VBeyond Corporation
4.4","Dallas, TX","Hillsborough, NJ",201 to 500 employees,Company - Private,Business Services,141000,225000, TX
439,Data Scientist,3.5,"Farmer's Business Network, Inc.
3.5","San Carlos, CA","San Carlos, CA",201 to 500 employees,Company - Private,Agriculture & Forestry,79000,133000, CA
437,Data Scientist,0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,Company - Private,Information Technology,79000,133000, VA
440,Data Scientist,0,Sonde Health,"Boston, MA","Boston, MA",1 to 50 employees,Private Practice / Firm,Health Care,79000,133000, MA
462,Data Scientist,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,Company - Private,Business Services,69000,116000, PA
670,Data Scientist,5.0,"ChaTeck Incorporated
5.0","San Francisco, CA","Santa Clara, CA",1 to 50 employees,Company - Private,Business Services,105000,167000, CA
671,Data Scientist,2.7,"1-800-Flowers
2.7","New York, NY","Carle Place, NY",1001 to 5000 employees,Company - Public,Business Services,105000,167000, NY
169,Data Analyst,2.3,"United BioSource
2.3","Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals,101000,165000, PA
660,Data Scientist,0,Pactera Edge,"Redmond, WA",Unknown,Unknown,Unknown,Unknown,105000,167000, WA
149,Other,4.4,"OneMagnify
4.4","Dearborn, MI","Detroit, MI",201 to 500 employees,Company - Private,Business Services,90000,109000, MI
207,Other,3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,Company - Public,Manufacturing,79000,106000, MN
345,Other,3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,Company - Public,Manufacturing,122000,146000, MN
398,Other,4.0,"Dynetics
4.0","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,Company - Private,Aerospace & Defense,110000,163000, AL
575,Other,4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,138000,158000, MA
